iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
174,16,7,9,0,2701,1967,-0.007200,0.076782,0.535274,0.0192,1.36,,
175,16,8,8,0,3558,2571,-0.024161,0.057725,0.529002,0.0350,1.76,,
176,16,5,11,0,3400,2713,-0.005849,0.062878,0.508669,0.0300,1.71,,
177,16,8,8,0,3643,2935,-0.006933,0.036354,0.504965,0.0374,1.87,,
178,16,10,6,0,3043,2028,-0.003614,0.098605,0.502194,0.0238,1.53,,
179,16,9,7,0,2940,2259,-0.004104,0.051414,0.523522,0.0127,1.50,,
180,16,5,11,0,3529,2808,-0.003046,0.051133,0.504172,0.0213,1.82,1.0000,20
181,16,7,9,0,3356,2507,-0.006347,0.040567,0.523372,0.0265,1.76,,
182,16,11,5,0,3729,2970,-0.005177,0.063582,0.490494,0.0236,1.82,,
183,16,9,7,0,3463,2642,-0.003595,0.056029,0.502176,0.0184,1.75,,
184,16,6,10,0,3737,2851,0.005396,0.057614,0.492242,0.0369,1.94,,
185,16,8,8,0,3527,2540,-0.004266,0.072801,0.507036,0.0185,1.76,,
186,16,10,6,0,3488,2269,-0.004166,0.072234,0.505716,0.0173,1.71,,
187,16,4,12,0,3450,2705,-0.005368,0.071419,0.515244,0.0221,1.75,,
188,16,9,7,0,2601,2119,-0.004561,0.061652,0.513000,0.0176,1.34,,
189,16,12,4,0,2961,2352,-0.005822,0.042410,0.506237,0.0276,1.55,,
190,16,7,9,0,2846,2085,-0.004830,0.060409,0.509361,0.0264,1.47,1.0000,20
191,16,11,5,0,3176,2646,-0.004821,0.071294,0.546781,0.0246,1.64,,
192,16,3,13,0,3150,2028,-0.005503,0.056506,0.494384,0.0183,1.51,,
193,16,10,6,0,3825,3073,-0.008686,0.053460,0.471505,0.0239,1.92,,
194,16,11,5,0,3624,2909,0.000381,0.054235,0.509106,0.0278,1.76,,
195,16,8,8,0,2710,2331,-0.015163,0.045036,0.524192,0.0217,1.39,,
196,16,9,7,0,3513,2834,-0.020806,0.084853,0.499551,0.0152,1.78,,
197,16,9,7,0,2893,2256,-0.004154,0.064451,0.491709,0.0234,1.48,,
198,16,10,6,0,3116,2320,-0.003239,0.080522,0.500876,0.0216,1.62,,
199,16,11,5,0,2968,2041,-0.001066,0.067500,0.510305,0.0176,1.50,,
200,16,8,8,0,4272,2926,-0.007959,0.046495,0.491120,0.0183,2.04,1.0000,20
201,16,6,10,0,3163,2478,-0.001367,0.106722,0.498181,0.0228,1.64,,
202,16,11,5,0,3003,2035,-0.004875,0.064576,0.502453,0.0184,1.49,,
203,16,10,6,0,3639,2442,-0.002141,0.045860,0.483918,0.0203,1.73,,
204,16,12,4,0,2965,2319,0.006404,0.063820,0.514387,0.0270,1.57,,
205,16,8,8,0,3389,2685,-0.005925,0.047558,0.489840,0.0232,1.73,,
206,16,10,6,0,3384,3087,-0.002332,0.042109,0.501458,0.0292,1.75,,
207,16,5,11,0,3298,2357,0.000293,0.096159,0.532689,0.0227,1.59,,
208,16,9,7,0,3070,2519,-0.004326,0.065295,0.542990,0.0256,1.60,,
209,16,13,3,0,3706,2977,-0.006658,0.042866,0.516801,0.0318,1.87,,
210,16,9,7,0,3111,2160,-0.004819,0.046227,0.493359,0.0314,1.50,1.0000,20
211,16,9,7,0,3859,2255,-0.004113,0.058855,0.504121,0.0217,1.79,,
212,16,9,7,0,3586,2643,-0.004346,0.040855,0.481715,0.0326,1.77,,
213,16,6,9,1,3418,2513,-0.004834,0.067875,0.529574,0.0274,1.72,,
214,16,9,7,0,3124,2578,-0.025574,0.048167,0.479866,0.0261,1.60,,
215,16,7,8,1,3798,3209,-0.006679,0.054626,0.510724,0.0240,1.96,,
216,16,6,10,0,3963,2965,-0.003934,0.043301,0.475910,0.0255,1.95,,
217,16,10,6,0,3249,2228,-0.006644,0.059812,0.492847,0.0247,1.62,,
218,16,10,6,0,3845,3109,0.000061,0.043594,0.527548,0.0373,1.91,,
219,16,10,6,0,4302,3130,-0.004467,0.048909,0.505282,0.0268,2.10,,
220,16,9,7,0,3451,2436,-0.000673,0.067520,0.501554,0.0174,1.71,1.0000,20
221,16,7,9,0,3310,2226,-0.002796,0.051900,0.521089,0.0233,1.60,,
222,16,8,8,0,3728,2883,-0.006937,0.054257,0.500692,0.0322,2.09,,
223,16,6,10,0,3488,2424,-0.010399,0.047261,0.547839,0.0273,1.73,,
224,16,13,3,0,2830,2388,-0.003654,0.046120,0.519562,0.0219,1.53,,
225,16,10,6,0,3889,2671,-0.002132,0.054679,0.510695,0.0269,1.88,,
226,16,7,9,0,3004,2322,0.007001,0.071082,0.526620,0.0357,1.53,,
227,16,6,10,0,2710,2272,-0.005294,0.062381,0.518493,0.0268,1.44,,
228,16,8,8,0,3394,2671,-0.006230,0.040383,0.541942,0.0321,1.75,,
229,16,5,11,0,3504,2799,-0.005620,0.053452,0.535526,0.0304,1.76,,
230,16,9,7,0,3588,2556,-0.004198,0.032749,0.509508,0.0279,1.74,1.0000,20
231,16,10,6,0,4145,2785,-0.002990,0.054848,0.496277,0.0214,1.97,,
232,16,9,7,0,3336,2786,-0.004425,0.063785,0.534949,0.0186,1.67,,
233,16,5,11,0,3188,2508,-0.005160,0.056860,0.509914,0.0319,1.62,,
234,16,10,6,0,3929,3030,-0.004609,0.042051,0.512390,0.0273,1.95,,
235,16,8,8,0,3310,2916,-0.006435,0.047787,0.552643,0.0304,1.76,,
236,16,6,10,0,4656,3890,-0.014426,0.054252,0.536936,0.0288,2.28,,
237,16,8,8,0,3784,2794,-0.005256,0.029664,0.503578,0.0340,1.87,,
238,16,8,7,1,3057,2310,-0.009604,0.057333,0.529632,0.0225,1.55,,
239,16,5,11,0,3769,2656,-0.003438,0.076494,0.498652,0.0190,1.77,,
240,16,11,5,0,2877,2388,-0.003507,0.052483,0.493533,0.0180,1.50,1.0000,20
241,16,8,8,0,3209,2175,-0.005375,0.049048,0.509743,0.0222,1.57,,
242,16,11,5,0,3596,2365,-0.009639,0.043519,0.521184,0.0187,1.76,,
243,16,7,9,0,3454,2119,-0.006171,0.057959,0.543872,0.0291,1.68,,
244,16,9,7,0,3310,2957,-0.003784,0.058141,0.531813,0.0264,1.75,,
245,16,9,7,0,3671,2243,-0.007160,0.039205,0.520493,0.0404,1.77,,
246,16,5,11,0,3910,2821,-0.012215,0.045490,0.523553,0.0319,1.94,,
247,16,4,12,0,3328,2427,0.000662,0.061616,0.508220,0.0300,1.65,,
248,16,6,10,0,3816,2599,-0.003179,0.046565,0.482886,0.0359,1.87,,
249,16,7,9,0,3251,2221,-0.006515,0.052557,0.498710,0.0310,1.57,,
250,16,10,6,0,2925,2119,-0.005001,0.047922,0.498250,0.0275,1.45,1.0000,20
251,16,10,6,0,3427,2572,-0.014771,0.059515,0.549608,0.0263,1.69,,
252,16,5,11,0,3004,2251,-0.003919,0.049347,0.519120,0.0312,1.51,,
253,16,9,7,0,3306,2628,-0.006633,0.071046,0.551996,0.0303,1.64,,
254,16,11,5,0,3410,2576,0.019044,0.068644,0.524071,0.0355,1.73,,
255,16,10,6,0,3258,2378,-0.010072,0.046635,0.544365,0.0283,1.59,,
256,16,10,6,0,3734,2864,-0.001778,0.056909,0.500831,0.0324,1.79,,
257,16,8,8,0,3006,2351,-0.016744,0.082734,0.546158,0.0159,1.47,,
258,16,12,4,0,3054,2450,-0.002838,0.052461,0.505759,0.0225,1.55,,
259,16,11,5,0,3266,2533,-0.004316,0.048780,0.533558,0.0211,1.63,,
260,16,8,8,0,3454,2607,-0.006729,0.061024,0.497795,0.0234,1.71,1.0000,20
261,16,9,7,0,3027,2244,-0.004894,0.061226,0.527528,0.0247,1.48,,
262,16,8,8,0,3529,2598,-0.016110,0.063090,0.499182,0.0242,1.73,,
263,16,10,6,0,4058,3249,-0.007190,0.034480,0.525136,0.0375,2.01,,
264,16,7,9,0,2827,1957,-0.006248,0.067021,0.513046,0.0503,1.41,,
265,16,7,9,0,3312,2569,-0.017108,0.071502,0.510496,0.0155,1.66,,
266,16,8,8,0,3448,3080,-0.003606,0.049272,0.504875,0.0353,1.73,,
267,16,11,5,0,3495,2974,-0.004576,0.042117,0.502819,0.0320,1.80,,
268,16,11,5,0,3051,2357,-0.006088,0.056989,0.522360,0.0230,1.53,,
269,16,9,7,0,2881,2097,-0.001703,0.086774,0.531683,0.0201,1.47,,
270,16,5,11,0,2848,2546,-0.004820,0.073423,0.520745,0.0401,1.54,1.0000,20
271,16,8,8,0,3537,2620,-0.002999,0.048403,0.508206,0.0231,1.76,,
272,16,10,6,0,3163,2429,-0.006943,0.055005,0.497291,0.0311,1.56,,
273,16,6,10,0,2734,1892,0.002380,0.049051,0.529761,0.0219,1.39,,
274,16,11,5,0,2791,2007,-0.005583,0.069531,0.526212,0.0196,1.37,,
275,16,7,9,0,3584,3055,-0.005036,0.060543,0.544290,0.0236,1.86,,
276,16,7,9,0,3073,2019,-0.003794,0.054917,0.542143,0.0200,1.50,,
277,16,9,7,0,3166,2603,-0.001968,0.088866,0.522028,0.0187,1.59,,
278,16,8,8,0,2992,2186,-0.005465,0.051945,0.546642,0.0212,1.50,,
279,16,8,8,0,3087,2234,-0.003093,0.067207,0.487736,0.0162,1.59,,
280,16,10,6,0,3178,2158,-0.007161,0.106547,0.543599,0.0233,1.61,1.0000,20
281,16,4,12,0,3136,2375,0.003483,0.067486,0.555540,0.0320,1.57,,
282,16,9,7,0,2920,2128,-0.002381,0.058874,0.517781,0.0232,1.51,,
283,16,7,9,0,3201,2517,-0.007998,0.057373,0.561579,0.0321,1.65,,
284,16,8,8,0,3084,2326,-0.007594,0.056930,0.527464,0.0424,1.62,,
285,16,9,7,0,2869,1994,-0.008815,0.080070,0.533893,0.0400,1.43,,
286,16,9,7,0,3303,2252,-0.003438,0.049469,0.520670,0.0154,1.59,,
287,16,12,4,0,2924,2601,-0.014290,0.060709,0.576427,0.0251,1.58,,
288,16,10,6,0,3458,2628,0.003472,0.065094,0.508392,0.0270,1.73,,
289,16,9,7,0,3911,3287,-0.004398,0.075017,0.544685,0.0292,2.01,,
290,16,7,9,0,3035,1724,-0.005383,0.059926,0.558530,0.0090,1.42,1.0000,20
291,16,6,10,0,3608,2635,-0.002405,0.044776,0.509397,0.0220,1.77,,
292,16,8,8,0,3481,2602,-0.019602,0.051024,0.520710,0.0254,1.73,,
293,16,7,9,0,2957,2133,-0.018076,0.060970,0.528749,0.0185,1.48,,
294,16,8,8,0,3122,2278,-0.004523,0.079967,0.538947,0.0282,1.57,,
295,16,9,7,0,2823,2026,-0.005286,0.049419,0.522606,0.0227,1.45,,
296,16,8,8,0,3856,2921,-0.002590,0.057656,0.545192,0.0207,1.95,,
297,16,8,8,0,2904,2013,-0.003702,0.056056,0.544643,0.0159,1.47,,
298,16,10,6,0,3057,2303,-0.004946,0.061849,0.542059,0.0216,1.53,,
299,16,7,9,0,2876,2310,-0.023567,0.066300,0.584257,0.0313,1.48,,
300,16,8,8,0,2842,2083,-0.001232,0.077510,0.537417,0.0306,1.44,1.0000,20
301,16,8,8,0,3400,2386,-0.000476,0.042127,0.548919,0.0180,1.66,,
302,16,12,4,0,2806,1687,-0.007096,0.059614,0.531930,0.0194,1.37,,
303,16,7,9,0,3484,2376,-0.002983,0.064966,0.522889,0.0232,1.71,,
304,16,6,10,0,2981,2019,-0.005562,0.074154,0.526250,0.0294,1.46,,
305,16,9,7,0,3270,2285,-0.004037,0.057947,0.558823,0.0188,1.64,,
306,16,6,9,1,3043,2350,-0.008915,0.043750,0.488365,0.0305,1.56,,
307,16,7,9,0,3151,2119,-0.003394,0.056015,0.568967,0.0265,1.56,,
308,16,9,7,0,3765,2500,-0.005899,0.053830,0.540613,0.0240,1.85,,
309,16,10,6,0,3102,2592,-0.001679,0.073736,0.526167,0.0265,1.61,,
310,16,7,9,0,3431,2472,-0.003727,0.058436,0.545621,0.0217,1.72,1.0000,20
311,16,8,8,0,3093,2551,-0.004098,0.068162,0.570369,0.0237,1.61,,
312,16,4,12,0,2795,1986,-0.003436,0.076312,0.548418,0.0242,1.43,,
313,16,10,6,0,3261,2335,0.003679,0.042508,0.519353,0.0205,1.68,,
314,16,7,9,0,2771,1949,-0.003605,0.081689,0.519597,0.0152,1.34,,
315,16,12,4,0,3247,2149,-0.003027,0.057596,0.579372,0.0281,1.65,,
